Region,Coast,USA Port,Foreign Port,Distance_km,Distance (nautical miles)
Canada,West Coast,New York,Montreal,2808,1516
Canada,East Coast,Los Angeles,Vancouver,2152,1162
Mexico,East Coast,New York,Veracruz,1874,1012
Mexico,Gulf Coast,Houston,Veracruz,1232,665
Mexico,West Coast,Los Angeles,Manzanillo,2234,1206
Rest of America,East Coast,New York,Santos,9130,4930
Rest of America,East Coast,Houston,Santos,10205,5510
Rest of America,West Coast,Los Angeles,Santos,13675,7384
Europe,East Coast,New York,Hamburg,6704,3620
Europe,Gulf Coast,Houston,Hamburg,9734,5256
Europe,West Coast,Los Angeles,Hamburg,14825,8005
Eastern Asia,East Coast,New York,Shanghai,19598,10582
Eastern Asia,Gulf Coast,Houston,Shanghai,18776,10138
Eastern Asia,West Coast,Los Angeles,Shanghai,10571,5708
Africa,East Coast,New York,Durban,14017.788,7569
Africa,Gulf Coast,Houston,Durban,15329.004,8277
Africa,West Coast,Los Angeles,Durban,22920.352,12376
Southeastern Asia and Oceania,East Coast,New York,Saigon,19962.708,10779
Southeastern Asia and Oceania,Gulf Coast,Houston,Saigon,21092.428,11389
Southeastern Asia and Oceania,West Coast,Los Angeles,Saigon,13315.88,7190
"Southern, Central, and Western Asia",East Coast,New York,Mumbai,15121.58,8165
"Southern, Central, and Western Asia",Gulf Coast,Houston,Mumbai,18014.404,9727
"Southern, Central, and Western Asia",West Coast,Los Angeles,Mumbai,18712.608,10104
